ir_data,red_data
127629.51,137803.86
127612.25,137780.44
127591.89,137753.6
127570.05,137724.25
127547.38,137693.52
127522.44,137656.08
127493.19,137609.06
127466.83,137566.45
127447.22,137538.9
127430.93,137518.74
127414.07,137498.01
127394.4,137471.5
127371.52,137437.06
127346.5,137397.99
127321.62,137360.23
127298.36,137325.77
127275.85,137292.53
127252.92,137259.82
127230.24,137227.22
127207.53,137194.58
127185.67,137163.12
127166.0,137135.64
127147.83,137110.01
127127.87,137077.41
127111.48,137052.61
127097.87,137035.55
127085.62,137021.11
127073.4,137008.17
127061.45,136995.65
127046.85,136978.92
127029.98,136956.4
127010.77,136929.41
126989.39,136899.77
126967.3,136868.62
126946.89,136839.11
126928.78,136812.37
126912.64,136788.56
126896.99,136767.31
126880.25,136743.58
126861.59,136716.67
126842.71,136691.39
126823.62,136667.27
126800.84,136638.48
126775.96,136605.98
126750.78,136572.55
126725.67,136539.35
126702.32,136507.86
126680.37,136478.16
126659.03,136448.8
126638.17,136419.65
126617.43,136392.22
126597.41,136366.24
126576.87,136341.11
126557.66,136318.46
126539.83,136298.74
126522.62,136280.26
126504.26,136258.3
126486.12,136234.7
126468.05,136207.66
126450.85,136178.71
126438.31,136154.82
126432.14,136141.4
126431.87,136137.66
126433.33,136137.23
126432.35,136132.82
126428.2,136123.21
126421.87,136111.33
126414.69,136100.92
126407.39,136093.27
126401.09,136090.0
126395.16,136088.2
126387.86,136085.36
126375.24,136071.51
126362.56,136056.48
126350.95,136042.55
126340.32,136031.85
126330.49,136024.05
126320.12,136015.67
126307.85,136002.43
126293.92,135984.59
126279.93,135966.47
126267.47,135949.27
126257.2,135933.45
126249.39,135920.13
126246.71,135912.55
126246.91,135908.95
126241.42,135891.93
126231.01,135862.8
126221.56,135836.48
126216.26,135821.04
126213.34,135812.14
126212.69,135806.37
126211.3,135800.16
126210.74,135794.0
126211.27,135790.43
126209.61,135788.42
